USC00050848,1895,4,TMAX,61,,,6,206,,,6,200,,,6,156,,,6,167,,,6,94,,,6,156,,,6,156,,,6,183,,,6,189,,,6,200,,,6,200,,,6,233,,,6,239,,,6,228,,,6,222,,,6,211,,,6,217,,,6,211,,,6,217,,,6,211,,,6,200,,,6,178,,,6,217,,,6,244,,,6,211,,,6,222,,,6,228,,,6,172,,,6,167,,,6,-9999,,,
USC00050848,1895,5,TMAX,156,,,6,178,,,6,189,,,6,183,,,6,206,,,6,239,,,6,272,,,6,300,,,6,183,,,6,183,,,6,200,,,6,200,,,6,244,,,6,267,,,6,161,,,6,139,,,6,267,,,6,256,,,6,267,,,6,228,,,6,178,,,6,183,,,6,189,,,6,-9999,,,,228,,,6,-9999,,,,294,,,6,222,,,6,194,,,6,172,,,6,194,,,6
USC00050848,1895,6,TMAX,189,,,6,189,,,6,183,,,6,189,,,6,244,,,6,250,,,6,256,,,6,239,,,6,200,,,6,200,,,6,200,,,6,239,,,6,272,,,6,272,,,6,283,,,6,267,,,6,217,,,6,272,,,6,256,,,6,267,,,6,272,,,6,278,,,6,294,,,6,294,,,6,267,,,6,239,,,6,239,,,6,189,,,6,217,,,6,222,,,6,-9999,,,
USC00050848,1895,7,TMAX,261,,,6,272,,,6,267,,,6,294,,,6,289,,,6,294,,,6,-9999,,,,-9999,,,,-9999,,,,256,,,6,244,,,6,189,,,6,222,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00050848,1897,5,TMAX,217,,,6,217,,,6,194,,,6,206,,,6,200,,,6,206,,,6,200,,,6,161,,,6,200,,,6,194,,,6,133,,,6,183,,,6,206,,,6,217,,,6,239,,,6,244,,,6,244,,,6,244,,,6,206,,,6,194,,,6,206,,,6,222,,,6,211,,,6,211,,,6,256,,,6,244,,,6,111,,I,6,189,,,6,233,,,6,222,,,6,256,,,6
USC00050848,1897,6,TMAX,189,,,6,139,,,6,156,,,6,161,,,6,156,,,6,167,,,6,206,,,6,261,,,6,244,,,6,222,,,6,200,,,6,256,,,6,250,,,6,256,,,6,283,,,6,228,,,6,233,,,6,217,,,6,250,,,6,294,,,6,289,,,6,294,,,6,289,,,6,244,,,6,217,,,6,228,,,6,283,,,6,261,,,6,250,,,6,283,,,6,-9999,,,
USC00050848,1897,7,TMAX,311,,,6,294,,,6,211,,,6,222,,,6,311,,,6,300,,,6,322,,,6,300,,,6,172,,I,6,211,,,6,256,,,6,300,,,6,322,,,6,261,,,6,272,,,6,294,,,6,272,,,6,228,,,6,194,,,6,233,,,6,272,,,6,300,,,6,294,,,6,233,,,6,261,,,6,294,,,6,289,,,6,322,,,6,317,,,6,267,,,6,300,,,6
USC00050848,1897,8,TMAX,267,,,6,256,,,6,217,,,6,178,,,6,250,,,6,272,,,6,278,,,6,256,,,6,250,,,6,244,,,6,261,,,6,294,,,6,300,,,6,261,,,6,228,,,6,267,,,6,244,,,6,222,,,6,222,,,6,250,,,6,239,,,6,256,,,6,250,,,6,283,,,6,306,,,6,250,,,6,272,,,6,278,,,6,233,,,6,289,,,6,300,,,6
USC00050848,1897,9,TMAX,283,,,6,294,,,6,283,,,6,289,,,6,267,,,6,289,,,6,294,,,6,283,,,6,167,,I,6,200,,,6,244,,,6,261,,,6,267,,,6,233,,,6,233,,,6,89,,I,6,189,,,6,222,,,6,206,,,6,239,,,6,244,,,6,250,,,6,256,,,6,211,,,6,233,,,6,239,,,6,256,,,6,256,,,6,239,,,6,250,,,6,-9999,,,
USC00050848,1897,10,TMAX,239,,,6,239,,,6,211,,,6,239,,,6,194,,,6,233,,,6,239,,,6,100,,,6,128,,,6,144,,,6,217,,,6,233,,,6,250,,,6,194,,,6,139,,,6,17,,I,6,61,,,6,172,,,6,172,,,6,178,,,6,200,,,6,211,,,6,172,,,6,217,,,6,150,,,6,0,,I,6,33,,,6,94,,,6,161,,,6,133,,,6,128,,,6
USC00050848,1897,11,TMAX,172,,,6,194,,,6,183,,,6,28,,I,6,67,,,6,78,,,6,117,,,6,61,,,6,78,,,6,156,,,6,183,,,6,217,,,6,189,,,6,178,,,6,-6,,I,6,44,,,6,128,,,6,178,,,6,228,,,6,217,,,6,6,,I,6,89,,,6,111,,,6,172,,,6,-11,,I,6,-11,,,6,-6,,,6,-33,,,6,50,,,6,128,,,6,-9999,,,
USC00050848,1897,12,TMAX,-39,,I,6,-106,,I,6,-22,,,6,89,,,6,111,,,6,100,,,6,122,,,6,183,,,6,50,,,6,61,,,6,61,,,6,44,,,6,50,,,6,122,,,6,-61,,I,6,-111,,,6,-89,,,6,-50,,,6,-50,,,6,-33,,,6,-28,,,6,61,,,6,83,,,6,106,,,6,78,,,6,56,,,6,83,,,6,161,,,6,144,,,6,111,,,6,22,,,6
USC00050848,1898,1,TMAX,56,,,6,194,,,6,167,,,6,61,,,6,133,,,6,89,,,6,111,,,6,83,,,6,94,,,6,17,,,6,22,,,6,28,,,6,17,,,6,17,,,6,50,,,6,56,,,6,6,,,6,17,,,6,11,,,6,6,,,6,-22,,,6,11,,,6,-17,,,6,-67,,,6,-50,,,6,-11,,,6,44,,,6,11,,,6,78,,,6,94,,,6,50,,,6
USC00050848,1898,2,TMAX,39,,,6,22,,,6,111,,,6,78,,,6,89,,,6,156,,,6,139,,,6,128,,,6,28,,,6,72,,,6,67,,,6,122,,,6,111,,,6,133,,,6,122,,,6,172,,,6,0,,I,6,-6,,,6,61,,,6,50,,,6,117,,,6,33,,,6,72,,,6,83,,,6,156,,,6,117,,,6,106,,,6,150,,,6,-9999,,,,-9999,,,,-9999,,,
USC00050848,1898,3,TMAX,72,,,6,72,,,6,78,,,6,111,,,6,61,,,6,150,,,6,133,,,6,161,,,6,50,,I,6,-6,,,6,39,,,6,61,,,6,144,,,6,33,,,6,50,,,6,72,,,6,61,,,6,72,,,6,78,,,6,100,,,6,128,,,6,-100,,I,6,50,,,6,161,,,6,167,,,6,78,,,6,17,,,6,50,,,6,22,,,6,83,,,6,100,,,6
USC00050848,1898,4,TMAX,56,,,6,156,,,6,78,,,6,44,,,6,44,,,6,61,,,6,133,,,6,161,,,6,189,,,6,172,,,6,139,,,6,83,,,6,200,,,6,233,,,6,244,,,6,222,,,6,117,,,6,183,,,6,144,,,6,183,,,6,133,,,6,189,,,6,172,,,6,161,,,6,211,,,6,256,,,6,167,,,6,183,,,6,183,,,6,139,,,6,-9999,,,
USC00050848,1898,5,TMAX,22,,I,6,17,,,6,17,,,6,44,,,6,44,,,6,111,,,6,150,,,6,128,,,6,194,,,6,211,,,6,183,,,6,178,,,6,183,,,6,156,,,6,156,,,6,178,,,6,156,,,6,178,,,6,122,,,6,161,,,6,183,,,6,239,,,6,244,,,6,278,,,6,167,,,6,206,,,6,167,,,6,211,,,6,217,,,6,233,,,6,233,,,6
USC00050848,1898,6,TMAX,267,,,6,289,,,6,167,,,6,111,,,6,200,,,6,167,,,6,211,,,6,144,,,6,217,,,6,228,,,6,228,,,6,211,,,6,261,,,6,244,,,6,261,,,6,294,,,6,283,,,6,272,,,6,283,,,6,300,,,6,289,,,6,306,,,6,289,,,6,283,,,6,294,,,6,233,,,6,294,,,6,350,,,6,256,,,6,283,,,6,-9999,,,
USC00050848,1898,7,TMAX,217,,,6,194,,,6,244,,,6,272,,,6,289,,,6,289,,,6,306,,,6,283,,,6,283,,,6,283,,,6,294,,,6,272,,,6,272,,,6,267,,,6,261,,,6,261,,,6,311,,,6,300,,,6,306,,,6,256,,,6,311,,,6,328,,,6,300,,,6,267,,,6,289,,,6,339,,,6,322,,,6,317,,,6,233,,,6,278,,,6,156,,,6
USC00050848,1898,8,TMAX,250,,,6,250,,,6,300,,,6,328,,,6,244,,,6,222,,,6,239,,,6,278,,,6,272,,,6,272,,,6,289,,,6,333,,,6,328,,,6,306,,,6,333,,,6,256,,,6,294,,,6,294,,,6,306,,,6,311,,,6,311,,,6,294,,,6,256,,,6,272,,,6,294,,,6,294,,,6,339,,,6,300,,,6,328,,,6,306,,,6,294,,,6
USC00050848,1898,9,TMAX,283,,,6,278,,,6,250,,,6,267,,,6,272,,,6,156,,,6,200,,,6,217,,,6,78,,I,6,56,,,6,83,,,6,150,,,6,200,,,6,256,,,6,278,,,6,172,,,6,244,,,6,283,,,6,267,,,6,294,,,6,283,,,6,283,,,6,283,,,6,250,,,6,289,,,6,283,,,6,289,,,6,250,,,6,228,,,6,228,,,6,-9999,,,
